Appliance_CPU_Utilization,Appliance_Memory_Utilization,Bandwidth (MB/s),Block Size,Host1_CPU_Utilization,Host1_Memory_Utilization,Host2_CPU_Utilization,Host2_Memory_Utilization,IOPS,Queue Depth/Thread,Read Latency (us),Stat_End_Time,Stat_Start_Time,Test_Name,Threads,Time_date,Timestamp,Timestamp_ms,Type,Write %,Write Latency (us)
5,10,265.28,512,2,2,2.0,2.0,543291,256,942.4654877744999,2018-05-09 15:18:07,2018-05-09 15:16:27,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 15:18:17 2018,2018-05-09 15:18:17,1525859297798,Seq,0,0.0
5,10,531.56,1024,2,2,2.0,2.0,544315,256,940.49185978,2018-05-09 15:20:18,2018-05-09 15:18:38,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 15:20:28 2018,2018-05-09 15:20:28,1525859428916,Seq,0,0.0
5,10,1062.5900000000001,2048,2,2,2.0,2.0,544047,256,940.781858998,2018-05-09 15:22:30,2018-05-09 15:20:50,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 15:22:40 2018,2018-05-09 15:22:40,1525859560041,Seq,0,0.0
5,10,2125.2799999999997,4096,2,2,2.0,2.0,544072,256,941.242518973,2018-05-09 15:24:41,2018-05-09 15:23:01,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 15:24:51 2018,2018-05-09 15:24:51,1525859691143,Seq,0,0.0
6,10,3980.74,8192,2,2,2.0,2.0,509535,256,1005.7869344965001,2018-05-09 15:26:52,2018-05-09 15:25:12,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 15:27:02 2018,2018-05-09 15:27:02,1525859822264,Seq,0,0.0
6,10,7336.299999999999,16384,2,2,2.0,2.0,469522,256,1092.902899425,2018-05-09 15:29:03,2018-05-09 15:27:23,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 15:29:13 2018,2018-05-09 15:29:13,1525859953383,Seq,0,0.0
5,10,10671.279999999999,32768,1,2,1.0,2.0,341481,256,1499.26282155,2018-05-09 15:31:14,2018-05-09 15:29:34,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 15:31:24 2018,2018-05-09 15:31:24,1525860084485,Seq,0,0.0
4,10,10540.43,65536,0,2,0.0,2.0,168646,256,3036.203013745,2018-05-09 15:33:25,2018-05-09 15:31:45,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 15:33:35 2018,2018-05-09 15:33:35,1525860215619,Seq,0,0.0
3,10,10108.34,131072,0,2,0.0,2.0,80867,256,6338.262646055,2018-05-09 15:35:36,2018-05-09 15:33:56,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 15:35:46 2018,2018-05-09 15:35:46,1525860346746,Seq,0,0.0
43,10,1680.7,512,22,2,22.0,2.0,3442069,16,148.1826011915,2018-05-09 15:37:47,2018-05-09 15:36:07,Sustained Multi-Threaded Random Read Tests by Block Size,16,Wed May  9 15:37:57 2018,2018-05-09 15:37:57,1525860477884,Rand,0,0.0
