Appliance_CPU_Utilization,Appliance_Memory_Utilization,Bandwidth (MB/s),Block Size,Host1_CPU_Utilization,Host1_Memory_Utilization,Host2_CPU_Utilization,Host2_Memory_Utilization,IOPS,Queue Depth/Thread,Read Latency (us),Stat_End_Time,Stat_Start_Time,Test_Name,Threads,Time_date,Timestamp,Timestamp_ms,Type,Write %,Write Latency (us)
6,10,282.39,512,2,2,2.0,2.0,578337,256,886.0869634915,2018-05-10 17:52:58,2018-05-10 17:51:18,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Thu May 10 17:53:08 2018,2018-05-10 17:53:08,1525954988877,Seq,0,0.0
6,10,532.69,1024,2,2,2.0,2.0,545473,256,938.643677517,2018-05-10 17:55:10,2018-05-10 17:53:30,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Thu May 10 17:55:20 2018,2018-05-10 17:55:20,1525955120000,Seq,0,0.0
5,10,1068.19,2048,2,2,2.0,2.0,546915,256,936.2149799135001,2018-05-10 17:57:21,2018-05-10 17:55:41,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Thu May 10 17:57:31 2018,2018-05-10 17:57:31,1525955251118,Seq,0,0.0
5,10,2118.87,4096,2,2,2.0,2.0,542432,256,943.6784104455,2018-05-10 17:59:32,2018-05-10 17:57:52,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Thu May 10 17:59:42 2018,2018-05-10 17:59:42,1525955382260,Seq,0,0.0
7,10,3783.45,8192,2,2,2.0,2.0,484281,256,1062.219676582,2018-05-10 18:01:43,2018-05-10 18:00:03,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Thu May 10 18:01:53 2018,2018-05-10 18:01:53,1525955513382,Seq,0,0.0
7,10,7759.59,16384,2,2,2.0,2.0,496613,256,1032.85972153,2018-05-10 18:03:54,2018-05-10 18:02:14,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Thu May 10 18:04:04 2018,2018-05-10 18:04:04,1525955644483,Seq,0,0.0
6,10,10768.52,32768,1,2,1.0,2.0,344593,256,1485.5208826950002,2018-05-10 18:06:05,2018-05-10 18:04:25,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Thu May 10 18:06:15 2018,2018-05-10 18:06:15,1525955775590,Seq,0,0.0
4,10,10646.2,65536,0,2,0.0,2.0,170339,256,3005.5912186699998,2018-05-10 18:08:16,2018-05-10 18:06:36,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Thu May 10 18:08:26 2018,2018-05-10 18:08:26,1525955906735,Seq,0,0.0
3,10,10480.529999999999,131072,0,2,0.0,2.0,83844,256,6106.09322189,2018-05-10 18:10:27,2018-05-10 18:08:47,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Thu May 10 18:10:37 2018,2018-05-10 18:10:37,1525956037847,Seq,0,0.0
44,10,1687.35,512,22,2,22.0,2.0,3455688,16,147.67045191,2018-05-10 18:12:38,2018-05-10 18:10:58,Sustained Multi-Threaded Random Read Tests by Block Size,16,Thu May 10 18:12:48 2018,2018-05-10 18:12:48,1525956168969,Rand,0,0.0
43,10,3297.2200000000003,1024,22,2,21.0,2.0,3376350,16,151.043362804,2018-05-10 18:14:50,2018-05-10 18:13:10,Sustained Multi-Threaded Random Read Tests by Block Size,16,Thu May 10 18:15:00 2018,2018-05-10 18:15:00,1525956300111,Rand,0,0.0
40,10,5246.53,2048,17,2,16.0,2.0,2686222,16,189.9837541535,2018-05-10 18:17:01,2018-05-10 18:15:21,Sustained Multi-Threaded Random Read Tests by Block Size,16,Thu May 10 18:17:11 2018,2018-05-10 18:17:11,1525956431221,Rand,0,0.0
16,10,3985.46,4096,5,2,6.0,2.0,1020279,16,501.87148991649997,2018-05-10 18:19:12,2018-05-10 18:17:32,Sustained Multi-Threaded Random Read Tests by Block Size,16,Thu May 10 18:19:22 2018,2018-05-10 18:19:22,1525956562359,Rand,0,0.0
12,10,4327.6,8192,3,2,3.0,2.0,553932,16,930.985316769,2018-05-10 18:21:23,2018-05-10 18:19:43,Sustained Multi-Threaded Random Read Tests by Block Size,16,Thu May 10 18:21:33 2018,2018-05-10 18:21:33,1525956693443,Rand,0,0.0
8,10,4179.82,16384,1,2,1.0,2.0,267508,16,1913.2209833000002,2018-05-10 18:23:34,2018-05-10 18:21:54,Sustained Multi-Threaded Random Read Tests by Block Size,16,Thu May 10 18:23:44 2018,2018-05-10 18:23:44,1525956824578,Rand,0,0.0
5,10,4192.75,32768,1,2,1.0,2.0,134168,16,3815.5214543149996,2018-05-10 18:25:45,2018-05-10 18:24:05,Sustained Multi-Threaded Random Read Tests by Block Size,16,Thu May 10 18:25:55 2018,2018-05-10 18:25:55,1525956955698,Rand,0,0.0
2,10,4150.9400000000005,65536,1,2,1.0,2.0,66415,16,7706.761124355,2018-05-10 18:27:56,2018-05-10 18:26:16,Sustained Multi-Threaded Random Read Tests by Block Size,16,Thu May 10 18:28:06 2018,2018-05-10 18:28:06,1525957086808,Rand,0,0.0
2,10,4064.09,131072,0,2,0.0,2.0,32513,16,15741.09173085,2018-05-10 18:30:07,2018-05-10 18:28:27,Sustained Multi-Threaded Random Read Tests by Block Size,16,Thu May 10 18:30:17 2018,2018-05-10 18:30:17,1525957217961,Rand,0,0.0
1,10,33.5,512,0,2,0.0,2.0,68601,1,0.0,2018-05-10 18:32:18,2018-05-10 18:30:38,Sequential Write Tests with Queue Depth=1 by Block Size,1,Thu May 10 18:32:28 2018,2018-05-10 18:32:28,1525957348997,Seq,100,28.743820145
1,10,65.52,1024,0,2,0.0,2.0,67090,1,0.0,2018-05-10 18:34:30,2018-05-10 18:32:50,Sequential Write Tests with Queue Depth=1 by Block Size,1,Thu May 10 18:34:40 2018,2018-05-10 18:34:40,1525957480129,Seq,100,29.389640606
1,10,126.94,2048,0,2,0.0,2.0,64992,1,0.0,2018-05-10 18:36:41,2018-05-10 18:35:01,Sequential Write Tests with Queue Depth=1 by Block Size,1,Thu May 10 18:36:51 2018,2018-05-10 18:36:51,1525957611240,Seq,100,30.3666647035
1,10,234.08999999999997,4096,0,2,0.0,2.0,59928,1,0.0,2018-05-10 18:38:52,2018-05-10 18:37:12,Sequential Write Tests with Queue Depth=1 by Block Size,1,Thu May 10 18:39:02 2018,2018-05-10 18:39:02,1525957742363,Seq,100,32.9098968275
1,10,302.78,8192,0,2,0.0,2.0,38755,1,0.0,2018-05-10 18:41:03,2018-05-10 18:39:23,Sequential Write Tests with Queue Depth=1 by Block Size,1,Thu May 10 18:41:13 2018,2018-05-10 18:41:13,1525957873487,Seq,100,50.7122901965
1,10,538.3900000000001,16384,0,2,0.0,2.0,34457,1,0.0,2018-05-10 18:43:14,2018-05-10 18:41:34,Sequential Write Tests with Queue Depth=1 by Block Size,1,Thu May 10 18:43:24 2018,2018-05-10 18:43:24,1525958004604,Seq,100,57.4124871425
1,10,779.09,32768,0,2,0.0,2.0,24931,1,0.0,2018-05-10 18:45:25,2018-05-10 18:43:45,Sequential Write Tests with Queue Depth=1 by Block Size,1,Thu May 10 18:45:35 2018,2018-05-10 18:45:35,1525958135703,Seq,100,79.4141791975
1,10,1146.46,65536,0,2,0.0,2.0,18343,1,0.0,2018-05-10 18:47:36,2018-05-10 18:45:56,Sequential Write Tests with Queue Depth=1 by Block Size,1,Thu May 10 18:47:46 2018,2018-05-10 18:47:46,1525958266830,Seq,100,108.14229654249999
1,10,1321.9899999999998,131072,0,2,0.0,2.0,10575,1,0.0,2018-05-10 18:49:47,2018-05-10 18:48:07,Sequential Write Tests with Queue Depth=1 by Block Size,1,Thu May 10 18:49:57 2018,2018-05-10 18:49:57,1525958397958,Seq,100,187.802495281
1,10,177.52999999999997,4096,0,2,0.0,2.0,45448,1,52.0484078875,2018-05-10 18:51:59,2018-05-10 18:50:19,Sustained 4KB Random mixed 50% Write Tests by Threads,1,Thu May 10 18:52:09 2018,2018-05-10 18:52:09,1525958529085,Rand,50,34.734341494999995
2,10,338.65,4096,0,2,0.0,2.0,86694,1,54.772861821,2018-05-10 18:54:10,2018-05-10 18:52:30,Sustained 4KB Random mixed 50% Write Tests by Threads,2,Thu May 10 18:54:20 2018,2018-05-10 18:54:20,1525958660205,Rand,50,36.352709967500004
4,10,646.58,4096,1,2,0.0,2.0,165525,1,58.950826553,2018-05-10 18:56:21,2018-05-10 18:54:41,Sustained 4KB Random mixed 50% Write Tests by Threads,4,Thu May 10 18:56:31 2018,2018-05-10 18:56:31,1525958791374,Rand,50,36.518846047500006
7,10,1204.98,4096,1,2,1.0,2.0,308473,1,66.776343685,2018-05-10 18:58:32,2018-05-10 18:56:52,Sustained 4KB Random mixed 50% Write Tests by Threads,8,Thu May 10 18:58:42 2018,2018-05-10 18:58:42,1525958922490,Rand,50,35.832879833999996
9,10,2138.25,4096,3,2,3.0,2.0,547391,1,80.7833984065,2018-05-10 19:00:43,2018-05-10 18:59:03,Sustained 4KB Random mixed 50% Write Tests by Threads,16,Thu May 10 19:00:53 2018,2018-05-10 19:00:53,1525959053637,Rand,50,34.900767099999996
13,10,3543.57,4096,6,2,5.0,2.0,907154,1,103.58948035949999,2018-05-10 19:02:54,2018-05-10 19:01:14,Sustained 4KB Random mixed 50% Write Tests by Threads,32,Thu May 10 19:03:04 2018,2018-05-10 19:03:04,1525959184742,Rand,50,36.204172476500005
22,10,5527.91,4096,11,2,11.0,2.0,1415146,1,138.6389025595,2018-05-10 19:05:05,2018-05-10 19:03:25,Sustained 4KB Random mixed 50% Write Tests by Threads,64,Thu May 10 19:05:15 2018,2018-05-10 19:05:15,1525959315902,Rand,50,40.6999717525
1,10,137.14999999999998,4096,0,2,0.0,2.0,35110,1,56.2446714335,2018-05-10 19:07:16,2018-05-10 19:05:36,Sustained 4KB Random Read Tests by Number of Threads,1,Thu May 10 19:07:26 2018,2018-05-10 19:07:26,1525959446967,Rand,0,0.0
2,10,275.19,4096,0,2,0.0,2.0,70449,1,56.154960540000005,2018-05-10 19:09:28,2018-05-10 19:07:48,Sustained 4KB Random Read Tests by Number of Threads,2,Thu May 10 19:09:38 2018,2018-05-10 19:09:38,1525959578098,Rand,0,0.0
3,10,555.23,4096,0,2,0.0,2.0,142138,1,55.7790191995,2018-05-10 19:11:39,2018-05-10 19:09:59,Sustained 4KB Random Read Tests by Number of Threads,4,Thu May 10 19:11:49 2018,2018-05-10 19:11:49,1525959709197,Rand,0,0.0
6,10,1101.54,4096,1,2,1.0,2.0,281994,1,56.198579308999996,2018-05-10 19:13:50,2018-05-10 19:12:10,Sustained 4KB Random Read Tests by Number of Threads,8,Thu May 10 19:14:00 2018,2018-05-10 19:14:00,1525959840360,Rand,0,0.0
10,10,2245.35,4096,3,2,2.0,2.0,574808,1,55.130331039,2018-05-10 19:16:01,2018-05-10 19:14:21,Sustained 4KB Random Read Tests by Number of Threads,16,Thu May 10 19:16:11 2018,2018-05-10 19:16:11,1525959971491,Rand,0,0.0
17,10,4377.51,4096,6,2,6.0,2.0,1120641,1,56.5195894,2018-05-10 19:18:12,2018-05-10 19:16:32,Sustained 4KB Random Read Tests by Number of Threads,32,Thu May 10 19:18:22 2018,2018-05-10 19:18:22,1525960102636,Rand,0,0.0
32,10,7402.59,4096,14,2,14.0,2.0,1895063,1,66.774643935,2018-05-10 19:20:23,2018-05-10 19:18:43,Sustained 4KB Random Read Tests by Number of Threads,64,Thu May 10 19:20:33 2018,2018-05-10 19:20:33,1525960233787,Rand,0,0.0
1,10,234.1,4096,0,2,0.0,2.0,59930,1,0.0,2018-05-10 19:22:34,2018-05-10 19:20:54,Sustained 4KB Random Write Tests by Number of Threads,1,Thu May 10 19:22:44 2018,2018-05-10 19:22:44,1525960364829,Rand,100,32.900888863000006
2,10,452.61,4096,0,2,0.0,2.0,115869,1,0.0,2018-05-10 19:24:45,2018-05-10 19:23:05,Sustained 4KB Random Write Tests by Number of Threads,2,Thu May 10 19:24:55 2018,2018-05-10 19:24:55,1525960495952,Rand,100,34.0124056475
4,10,893.06,4096,1,2,1.0,2.0,228624,1,0.0,2018-05-10 19:26:57,2018-05-10 19:25:17,Sustained 4KB Random Write Tests by Number of Threads,4,Thu May 10 19:27:07 2018,2018-05-10 19:27:07,1525960627077,Rand,100,34.4557146165
