Appliance_CPU_Utilization,Appliance_Memory_Utilization,Bandwidth (MB/s),Block Size,Host1_CPU_Utilization,Host1_Memory_Utilization,Host2_CPU_Utilization,Host2_Memory_Utilization,IOPS,Queue Depth/Thread,Read Latency (us),Stat_End_Time,Stat_Start_Time,Test_Name,Threads,Time_date,Timestamp,Timestamp_ms,Type,Write %,Write Latency (us)
1,10,297.67,8192,0,2,0.0,2.0,38102,1,0.0,2018-05-07 13:21:08,2018-05-07 13:19:28,Sequential Write Tests with Queue Depth=1 by Block Size,1,Mon May  7 13:21:18 2018,2018-05-07 13:21:18,1525679478374,Seq,100,51.623834587
1,10,493.43,16384,0,2,0.0,2.0,31579,1,0.0,2018-05-07 13:23:19,2018-05-07 13:21:39,Sequential Write Tests with Queue Depth=1 by Block Size,1,Mon May  7 13:23:29 2018,2018-05-07 13:23:29,1525679609472,Seq,100,62.39763738
1,10,797.9300000000001,32768,0,2,0.0,2.0,25533,1,0.0,2018-05-07 13:25:30,2018-05-07 13:23:50,Sequential Write Tests with Queue Depth=1 by Block Size,1,Mon May  7 13:25:40 2018,2018-05-07 13:25:40,1525679740576,Seq,100,77.61468110850001
1,10,1121.98,65536,0,2,0.0,2.0,17952,1,0.0,2018-05-07 13:27:41,2018-05-07 13:26:01,Sequential Write Tests with Queue Depth=1 by Block Size,1,Mon May  7 13:27:51 2018,2018-05-07 13:27:51,1525679871666,Seq,100,110.49287439349999
1,10,1290.7800000000002,131072,0,2,0.0,2.0,10327,1,0.0,2018-05-07 13:29:52,2018-05-07 13:28:12,Sequential Write Tests with Queue Depth=1 by Block Size,1,Mon May  7 13:30:02 2018,2018-05-07 13:30:02,1525680002771,Seq,100,192.26104928200002
1,10,174.53,4096,0,2,0.0,2.0,44682,1,52.841211108,2018-05-07 13:32:03,2018-05-07 13:30:23,Sustained 4KB Random mixed 50% Write Tests by Threads,1,Mon May  7 13:32:13 2018,2018-05-07 13:32:13,1525680133881,Rand,50,35.4070307075
2,10,344.49,4096,0,2,0.0,2.0,88191,1,54.101129102499996,2018-05-07 13:34:15,2018-05-07 13:32:35,Sustained 4KB Random mixed 50% Write Tests by Threads,2,Mon May  7 13:34:25 2018,2018-05-07 13:34:25,1525680265027,Rand,50,35.576247744
4,10,654.86,4096,0,2,0.0,2.0,167644,1,58.4452045635,2018-05-07 13:36:26,2018-05-07 13:34:46,Sustained 4KB Random mixed 50% Write Tests by Threads,4,Mon May  7 13:36:36 2018,2018-05-07 13:36:36,1525680396150,Rand,50,35.881070187
7,10,1192.6599999999999,4096,1,2,1.0,2.0,305320,1,67.16355899300001,2018-05-07 13:38:37,2018-05-07 13:36:57,Sustained 4KB Random mixed 50% Write Tests by Threads,8,Mon May  7 13:38:47 2018,2018-05-07 13:38:47,1525680527286,Rand,50,36.482851878000005
9,10,2121.34,4096,3,2,3.0,2.0,543063,1,81.1680533825,2018-05-07 13:40:48,2018-05-07 13:39:08,Sustained 4KB Random mixed 50% Write Tests by Threads,16,Mon May  7 13:40:58 2018,2018-05-07 13:40:58,1525680658436,Rand,50,35.407165956
13,10,3544.66,4096,6,2,5.0,2.0,907433,1,103.44999472250001,2018-05-07 13:42:59,2018-05-07 13:41:19,Sustained 4KB Random mixed 50% Write Tests by Threads,32,Mon May  7 13:43:09 2018,2018-05-07 13:43:09,1525680789543,Rand,50,36.2576132035
22,10,5524.719999999999,4096,11,2,11.0,2.0,1414327,1,138.616301363,2018-05-07 13:45:10,2018-05-07 13:43:30,Sustained 4KB Random mixed 50% Write Tests by Threads,64,Mon May  7 13:45:20 2018,2018-05-07 13:45:20,1525680920685,Rand,50,40.7616078465
1,10,138.69,4096,0,2,0.0,2.0,35504,1,55.7232865685,2018-05-07 13:47:21,2018-05-07 13:45:41,Sustained 4KB Random Read Tests by Number of Threads,1,Mon May  7 13:47:31 2018,2018-05-07 13:47:31,1525681051742,Rand,0,0.0
2,10,268.94000000000005,4096,0,2,0.0,2.0,68849,1,57.485354237500005,2018-05-07 13:49:32,2018-05-07 13:47:52,Sustained 4KB Random Read Tests by Number of Threads,2,Mon May  7 13:49:42 2018,2018-05-07 13:49:42,1525681182862,Rand,0,0.0
3,10,539.8800000000001,4096,0,2,0.0,2.0,138208,1,57.3215865145,2018-05-07 13:51:43,2018-05-07 13:50:03,Sustained 4KB Random Read Tests by Number of Threads,4,Mon May  7 13:51:53 2018,2018-05-07 13:51:53,1525681313991,Rand,0,0.0
7,10,1081.94,4096,1,2,1.0,2.0,276978,1,57.204289999,2018-05-07 13:53:55,2018-05-07 13:52:15,Sustained 4KB Random Read Tests by Number of Threads,8,Mon May  7 13:54:05 2018,2018-05-07 13:54:05,1525681445124,Rand,0,0.0
10,10,2248.9700000000003,4096,3,2,2.0,2.0,575735,1,55.0542141785,2018-05-07 13:56:06,2018-05-07 13:54:26,Sustained 4KB Random Read Tests by Number of Threads,16,Mon May  7 13:56:16 2018,2018-05-07 13:56:16,1525681576239,Rand,0,0.0
17,10,4321.57,4096,6,2,6.0,2.0,1106322,1,57.2219143885,2018-05-07 13:58:17,2018-05-07 13:56:37,Sustained 4KB Random Read Tests by Number of Threads,32,Mon May  7 13:58:27 2018,2018-05-07 13:58:27,1525681707396,Rand,0,0.0
