Appliance_CPU_Utilization,Appliance_Memory_Utilization,Bandwidth (MB/s),Block Size,Host1_CPU_Utilization,Host1_Memory_Utilization,Host2_CPU_Utilization,Host2_Memory_Utilization,IOPS,Queue Depth/Thread,Read Latency (us),Stat_End_Time,Stat_Start_Time,Test_Name,Threads,Time_date,Timestamp,Timestamp_ms,Type,Write %,Write Latency (us)
6,10,266.39,512,2,2,2.0,2.0,545579,256,938.4196315015,2018-05-08 17:59:50,2018-05-08 17:58:10,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 18:00:00 2018,2018-05-08 18:00:00,1525782600661,Seq,0,0.0
6,10,527.85,1024,2,2,2.0,2.0,540519,256,947.9447726735,2018-05-08 18:02:01,2018-05-08 18:00:21,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 18:02:11 2018,2018-05-08 18:02:11,1525782731788,Seq,0,0.0
5,10,1066.95,2048,2,2,2.0,2.0,546278,256,937.0090525225,2018-05-08 18:04:12,2018-05-08 18:02:32,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 18:04:22 2018,2018-05-08 18:04:22,1525782862919,Seq,0,0.0
5,10,2276.34,4096,2,2,2.0,2.0,582743,256,879.3722322240001,2018-05-08 18:06:24,2018-05-08 18:04:44,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 18:06:34 2018,2018-05-08 18:06:34,1525782994046,Seq,0,0.0
6,10,4000.3999999999996,8192,2,2,2.0,2.0,512052,256,1001.0785763404999,2018-05-08 18:08:35,2018-05-08 18:06:55,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 18:08:45 2018,2018-05-08 18:08:45,1525783125159,Seq,0,0.0
6,10,7259.92,16384,2,2,2.0,2.0,464635,256,1102.10370558,2018-05-08 18:10:46,2018-05-08 18:09:06,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 18:10:56 2018,2018-05-08 18:10:56,1525783256277,Seq,0,0.0
5,10,9702.53,32768,1,2,1.0,2.0,310481,256,1650.193345195,2018-05-08 18:12:57,2018-05-08 18:11:17,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 18:13:07 2018,2018-05-08 18:13:07,1525783387918,Seq,0,0.0
4,10,10480.25,65536,0,2,0.0,2.0,167684,256,3052.9548690700003,2018-05-08 18:15:08,2018-05-08 18:13:28,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 18:15:18 2018,2018-05-08 18:15:18,1525783518498,Seq,0,0.0
3,10,9704.77,131072,0,2,0.0,2.0,77638,256,6594.50737946,2018-05-08 18:17:21,2018-05-08 18:15:41,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 18:17:31 2018,2018-05-08 18:17:31,1525783651058,Seq,0,0.0
44,10,1701.8000000000002,512,23,2,22.0,2.0,3485277,16,146.32074895099998,2018-05-08 18:19:31,2018-05-08 18:17:51,Sustained Multi-Threaded Random Read Tests by Block Size,16,Tue May  8 18:19:41 2018,2018-05-08 18:19:41,1525783781801,Rand,0,0.0
43,10,3301.75,1024,21,2,21.0,2.0,3380997,16,150.86375758600002,2018-05-08 18:21:42,2018-05-08 18:20:02,Sustained Multi-Threaded Random Read Tests by Block Size,16,Tue May  8 18:21:52 2018,2018-05-08 18:21:52,1525783912900,Rand,0,0.0
